,",",.,?,!,:,;,-,–,',"""",,",",.,?,!,:,;,-,–,',""""
"Lincoln, Abraham",101016,67890,3758,710,4620,7869,15843,0,4882,8700,"Lincoln, Abraham",0,0,0,0,0,0,0,0,0,0
"Adam, Paul",2943,2803,3,0,90,313,1940,0,54,192,"Adam, Paul",28966,31392,1263,3327,882,1422,10520,0,18773,0
"Carroll, Lewis",38926,29552,3310,7237,4105,4051,34326,0,10873,20962,"Carroll, Lewis",0,0,0,0,0,0,0,0,0,0
"Melville, Herman",158576,62681,7069,9151,2788,29270,40730,0,11388,20963,"Melville, Herman",0,0,0,0,0,0,0,0,0,0
"Milton, John",40788,15336,1210,532,3079,5120,4119,0,8589,1597,"Milton, John",0,0,0,0,0,0,0,0,0,0
"Roget, Peter Mark",55687,27905,52,659,124,32954,1946,0,2369,1628,"Roget, Peter Mark",0,0,0,0,0,0,0,0,0,0
"Hardy, Thomas",169233,117122,13061,14082,3939,17992,42566,33,58653,11289,"Hardy, Thomas",0,0,0,0,0,0,0,0,0,0
"Hawthorne, Nathaniel",283940,112810,5729,10320,1067,28455,62878,0,15439,37913,"Hawthorne, Nathaniel",0,0,0,0,0,0,0,0,0,0
"Stevenson, Robert Louis",396441,222781,17584,16692,10781,79020,71140,17,46422,83869,"Stevenson, Robert Louis",11774,6257,812,2357,441,1203,5493,0,8523,0
"Dickens, Charles",680618,334232,35756,45442,12391,66333,116985,3,162004,75227,"Dickens, Charles",145453,86056,9533,13822,5089,15699,54465,0,109709,0
"Descartes, René",6333,1478,12,0,224,773,267,0,210,66,"Descartes, René",8675,2675,216,28,569,1450,1323,0,8953,0
"Marx, Karl",12629,7063,178,46,257,1048,1411,0,165,291,"Marx, Karl",0,0,0,0,0,0,0,0,0,0
"Engels, Friedrich",22865,11954,288,124,414,1552,4004,0,955,2421,"Engels, Friedrich",0,0,0,0,0,0,0,0,0,0
"Burroughs, Edgar Rice",90502,79193,5278,3760,560,6379,24368,0,11615,32111,"Burroughs, Edgar Rice",0,0,0,0,0,0,0,0,0,0
"Twain, Mark",301782,214282,15091,17105,11896,45842,132977,0,70254,27593,"Twain, Mark",2506,1874,186,386,240,576,1324,0,2334,292
"Thoreau, Henry David",85136,35961,1740,968,614,7908,13040,5,2367,4691,"Thoreau, Henry David",0,0,0,0,0,0,0,0,0,0
"Crane, Stephen",35832,36304,3395,3210,873,1253,11118,0,11733,21577,"Crane, Stephen",0,0,0,0,0,0,0,0,0,0
"Scott, Walter",843699,307616,25570,24394,8968,74870,185562,7,113602,162457,"Scott, Walter",47524,22433,2292,3047,1993,6217,20530,0,39769,4
"Verne, Jules",300706,184295,17202,21331,4200,25254,43273,0,17936,104379,"Verne, Jules",285418,177003,15625,31950,4473,10451,119204,5,179124,887
"Shelley, Mary Wollstonecraft",25738,12591,857,1076,785,5220,5605,0,1382,2198,"Shelley, Mary Wollstonecraft",0,0,0,0,0,0,0,0,0,0
"Shakespeare, William",360569,421321,41442,21026,66454,44985,50463,151,94898,4173,"Shakespeare, William",97733,94921,11371,12296,9383,16192,95967,0,67795,3
"Austen, Jane",65489,40571,2858,3764,1046,11478,4607,0,1459,2580,"Austen, Jane",14070,9112,771,1000,815,2991,5393,0,13389,0
"Doyle, Arthur Conan",260327,191878,17965,14250,1709,6736,44164,0,40092,79196,"Doyle, Arthur Conan",30657,18207,1615,1439,328,256,14653,0,24246,319
"Hugo, Victor",149070,93803,8969,12366,3648,18552,31273,0,9837,35243,"Hugo, Victor",196544,120615,11050,20118,9532,21874,70776,0,143906,985
"Woolf, Virginia",30455,21661,2234,1026,290,2985,3843,0,1029,2348,"Woolf, Virginia",0,0,0,0,0,0,0,0,0,0
"Eliot, George",156461,98647,7229,3919,6091,18817,39632,0,20369,29340,"Eliot, George",0,0,0,0,0,0,0,0,0,0
"Paine, Thomas",70776,31750,1268,366,1708,8293,5728,0,1920,4131,"Paine, Thomas",0,0,0,0,0,0,0,0,0,0
"Franklin, Benjamin",113803,53353,1707,794,3160,12616,22454,0,10341,7551,"Franklin, Benjamin",15671,8737,235,109,678,1783,4217,0,14246,8
"Coleridge, Samuel Taylor",235188,149158,9194,24720,15408,24092,64944,5,47845,16094,"Coleridge, Samuel Taylor",0,0,0,0,0,0,0,0,0,0
"Webster, Jean",30178,31735,3423,2671,561,3442,12467,0,21779,14177,"Webster, Jean",0,0,0,0,0,0,0,0,0,0
"Chopin, Kate",11516,10375,936,703,214,1507,2471,0,4754,4025,"Chopin, Kate",0,0,0,0,0,0,0,0,0,0
"Wilde, Oscar",68412,57963,4250,4249,2376,4849,9223,3,8622,1892,"Wilde, Oscar",26412,22881,1288,1693,682,1311,8688,0,22157,6
"Leroux, Gaston",22867,20420,2356,3149,1088,1703,5292,0,4748,12586,"Leroux, Gaston",24243,32336,2058,6618,1403,976,12984,0,20197,4
"James, Henry",325987,214862,25800,16171,7605,41188,115784,0,80658,131176,"James, Henry",0,0,0,0,0,0,0,0,0,0
"Lawson, Henry",28899,19794,1652,2016,1185,2988,15350,0,17648,10965,"Lawson, Henry",0,0,0,0,0,0,0,0,0,0
"London, Jack",209185,184271,10994,7880,2085,8903,50369,0,43576,56267,"London, Jack",0,0,0,0,0,0,0,0,0,0
"Lawrence, D. H. (David Herbert)",118244,105982,10471,6722,3759,2729,28273,0,26705,37777,"Lawrence, D. H. (David Herbert)",0,0,0,0,0,0,0,0,0,0
"Conrad, Joseph",132188,132350,9837,9546,3585,9902,41679,0,24900,47824,"Conrad, Joseph",0,0,0,0,0,0,0,0,0,0
"Maugham, W. Somerset (William Somerset)",82588,121671,10735,4017,1767,9005,12954,0,41005,18526,"Maugham, W. Somerset (William Somerset)",0,0,0,0,0,0,0,0,0,0
"Kipling, Rudyard",192428,157438,16873,19546,4099,15147,95887,0,117131,58843,"Kipling, Rudyard",0,0,0,0,0,0,0,0,0,0
"FitzGerald, Edward",18827,15598,591,643,3838,2900,4913,0,5652,142,"FitzGerald, Edward",0,0,0,0,0,0,0,0,0,0
"Webster, Noah",74895,121856,16134,167,1271,26512,2838,5,1976,1464,"Webster, Noah",0,0,0,0,0,0,0,0,0,0
"Chaucer, Geoffrey",215670,252362,2599,3610,6542,62830,30497,0,40369,8462,"Chaucer, Geoffrey",0,0,0,0,0,0,0,0,0,0
Saki,27119,17303,1125,372,486,3179,6443,0,4335,7801,Saki,0,0,0,0,0,0,0,0,0,0
"Jerome, Jerome K. (Jerome Klapka)",84094,72931,6314,3005,2500,8239,22557,0,19948,35220,"Jerome, Jerome K. (Jerome Klapka)",4045,3905,328,159,370,527,2663,0,4588,0
"Drake, Joseph Rodman",1099,311,22,100,23,263,292,0,289,43,"Drake, Joseph Rodman",0,0,0,0,0,0,0,0,0,0
"Fox, John",37460,24276,1848,1572,908,2101,16004,0,13951,17246,"Fox, John",0,0,0,0,0,0,0,0,0,0
"Muir, John",37633,16060,189,349,286,2203,7350,0,1014,1446,"Muir, John",0,0,0,0,0,0,0,0,0,0
"Proudhon, P.-J. (Pierre-Joseph)",29438,11114,1436,623,1481,3842,5578,0,655,1977,"Proudhon, P.-J. (Pierre-Joseph)",0,0,0,0,0,0,0,0,0,0
"Austin, Mary Hunter",23209,17702,1193,762,196,1870,6068,0,5152,8886,"Austin, Mary Hunter",0,0,0,0,0,0,0,0,0,0
"Defoe, Daniel",251542,58788,3444,1187,6388,41434,15910,0,20414,10447,"Defoe, Daniel",28088,8862,562,459,1246,4935,8254,0,25747,0
"Churchill, Winston",297911,245358,20343,10800,4986,15893,74980,0,68836,137925,"Churchill, Winston",0,0,0,0,0,0,0,0,0,0
"Anderson, Sherwood",17412,23609,736,348,48,354,2613,0,4515,7414,"Anderson, Sherwood",0,0,0,0,0,0,0,0,0,0
"Le Bon, Gustave",8796,6235,118,26,188,513,1656,0,716,268,"Le Bon, Gustave",10871,7827,189,50,572,578,2884,0,10894,0
"La Fayette, Madame de (Marie-Madeleine Pioche de La Vergne)",4989,1292,126,34,188,1447,235,0,547,977,"La Fayette, Madame de (Marie-Madeleine Pioche de La Vergne)",8454,4475,203,111,405,1653,1849,0,9329,609
"Prévost, abbé",4427,2476,165,251,177,717,1438,0,1296,592,"Prévost, abbé",14424,9933,187,181,183,1370,2347,0,14461,0
"Balzac, Honoré de",526526,277159,30500,36685,7020,68986,119028,0,63499,195402,"Balzac, Honoré de",107560,63066,6144,8468,4153,7165,47913,0,67406,46
"Potter, Beatrix",4557,5265,452,1100,96,1173,3234,0,778,2646,"Potter, Beatrix",83,100,4,23,5,13,21,0,43,30
"Lamb, Charles",20630,10828,824,809,559,2610,6542,0,2694,2952,"Lamb, Charles",0,0,0,0,0,0,0,0,0,0
"Blake, William",1638,662,134,153,177,252,111,0,305,152,"Blake, William",0,0,0,0,0,0,0,0,0,0
"Bacon, Francis",25849,8790,147,13,1204,4704,919,0,638,632,"Bacon, Francis",0,0,0,0,0,0,0,0,0,0
