"",",",".","?","!",":",";","-","–","'",""""
"Lincoln, Abraham",0,0,0,0,0,0,0,0,0,0
"Adam, Paul",28966,31392,1263,3327,882,1422,10520,0,18773,0
"Carroll, Lewis",0,0,0,0,0,0,0,0,0,0
"Melville, Herman",0,0,0,0,0,0,0,0,0,0
"Milton, John",0,0,0,0,0,0,0,0,0,0
"Roget, Peter Mark",0,0,0,0,0,0,0,0,0,0
"Hardy, Thomas",0,0,0,0,0,0,0,0,0,0
"Hawthorne, Nathaniel",0,0,0,0,0,0,0,0,0,0
"Stevenson, Robert Louis",11774,6257,812,2357,441,1203,5493,0,8523,0
"Dickens, Charles",145453,86056,9533,13822,5089,15699,54465,0,109709,0
"Descartes, René",8675,2675,216,28,569,1450,1323,0,8953,0
"Marx, Karl",0,0,0,0,0,0,0,0,0,0
"Engels, Friedrich",0,0,0,0,0,0,0,0,0,0
"Burroughs, Edgar Rice",0,0,0,0,0,0,0,0,0,0
"Twain, Mark",2506,1874,186,386,240,576,1324,0,2334,292
"Thoreau, Henry David",0,0,0,0,0,0,0,0,0,0
"Crane, Stephen",0,0,0,0,0,0,0,0,0,0
"Scott, Walter",47524,22433,2292,3047,1993,6217,20530,0,39769,4
"Verne, Jules",285418,177003,15625,31950,4473,10451,119204,5,179124,887
"Shelley, Mary Wollstonecraft",0,0,0,0,0,0,0,0,0,0
"Shakespeare, William",97733,94921,11371,12296,9383,16192,95967,0,67795,3
"Austen, Jane",14070,9112,771,1000,815,2991,5393,0,13389,0
"Doyle, Arthur Conan",30657,18207,1615,1439,328,256,14653,0,24246,319
"Hugo, Victor",196544,120615,11050,20118,9532,21874,70776,0,143906,985
"Woolf, Virginia",0,0,0,0,0,0,0,0,0,0
"Eliot, George",0,0,0,0,0,0,0,0,0,0
"Paine, Thomas",0,0,0,0,0,0,0,0,0,0
"Franklin, Benjamin",15671,8737,235,109,678,1783,4217,0,14246,8
"Coleridge, Samuel Taylor",0,0,0,0,0,0,0,0,0,0
"Webster, Jean",0,0,0,0,0,0,0,0,0,0
"Chopin, Kate",0,0,0,0,0,0,0,0,0,0
"Wilde, Oscar",26412,22881,1288,1693,682,1311,8688,0,22157,6
"Leroux, Gaston",24243,32336,2058,6618,1403,976,12984,0,20197,4
"James, Henry",0,0,0,0,0,0,0,0,0,0
"Lawson, Henry",0,0,0,0,0,0,0,0,0,0
"London, Jack",0,0,0,0,0,0,0,0,0,0
"Lawrence, D. H. (David Herbert)",0,0,0,0,0,0,0,0,0,0
"Conrad, Joseph",0,0,0,0,0,0,0,0,0,0
"Maugham, W. Somerset (William Somerset)",0,0,0,0,0,0,0,0,0,0
"Kipling, Rudyard",0,0,0,0,0,0,0,0,0,0
"FitzGerald, Edward",0,0,0,0,0,0,0,0,0,0
"Webster, Noah",0,0,0,0,0,0,0,0,0,0
"Chaucer, Geoffrey",0,0,0,0,0,0,0,0,0,0
"Saki",0,0,0,0,0,0,0,0,0,0
"Jerome, Jerome K. (Jerome Klapka)",4045,3905,328,159,370,527,2663,0,4588,0
"Drake, Joseph Rodman",0,0,0,0,0,0,0,0,0,0
"Fox, John",0,0,0,0,0,0,0,0,0,0
"Muir, John",0,0,0,0,0,0,0,0,0,0
"Proudhon, P.-J. (Pierre-Joseph)",0,0,0,0,0,0,0,0,0,0
"Austin, Mary Hunter",0,0,0,0,0,0,0,0,0,0
"Defoe, Daniel",28088,8862,562,459,1246,4935,8254,0,25747,0
"Churchill, Winston",0,0,0,0,0,0,0,0,0,0
"Anderson, Sherwood",0,0,0,0,0,0,0,0,0,0
"Le Bon, Gustave",10871,7827,189,50,572,578,2884,0,10894,0
"La Fayette, Madame de (Marie-Madeleine Pioche de La Vergne)",8454,4475,203,111,405,1653,1849,0,9329,609
"Prévost, abbé",14424,9933,187,181,183,1370,2347,0,14461,0
"Balzac, Honoré de",107560,63066,6144,8468,4153,7165,47913,0,67406,46
"Potter, Beatrix",83,100,4,23,5,13,21,0,43,30
"Lamb, Charles",0,0,0,0,0,0,0,0,0,0
"Blake, William",0,0,0,0,0,0,0,0,0,0
"Bacon, Francis",0,0,0,0,0,0,0,0,0,0
"Johnson, Samuel",0,0,0,0,0,0,0,0,0,0
"Maupassant, Guy de",104591,61134,5000,5970,8033,8009,28390,0,64082,4635
"James, William",0,0,0,0,0,0,0,0,0,0
"Swift, Jonathan",15675,6288,208,841,499,2024,2074,0,11482,0
"Lovelace, Richard",0,0,0,0,0,0,0,0,0,0
"Van Dyke, Henry",0,0,0,0,0,0,0,0,0,0
"Freud, Sigmund",0,0,0,0,0,0,0,0,0,0
"Brontë, Anne",0,0,0,0,0,0,0,0,0,0
"Brontë, Emily",0,0,0,0,0,0,0,0,0,0
"Brontë, Charlotte",13337,8308,1303,801,801,5032,7179,0,11953,0
"Stendhal",48796,31004,1833,2583,2639,6658,14557,0,23672,0
"Fitzgerald, F. Scott (Francis Scott)",0,0,0,0,0,0,0,0,0,0
"Tocqueville, Alexis de",21513,13081,296,42,1101,3961,4976,0,23654,22
"Chrétien, de Troyes, active 12th century",0,0,0,0,0,0,0,0,0,0
"Bacon, John M. (John Mackenzie)",0,0,0,0,0,0,0,0,0,0
"Christie, Agatha",0,0,0,0,0,0,0,0,0,0
"Shaw, Bernard",0,0,0,0,0,0,0,0,0,0
"Spinoza, Benedictus de",0,0,0,0,0,0,0,0,0,0
"Poe, Edgar Allan",28105,13886,861,1603,598,2684,13647,0,21811,797
"Darwin, Charles",21736,9460,211,38,289,2625,4053,0,17359,0
"Dumas, Alexandre",522106,271871,42670,49818,21523,58216,276532,0,281228,1161
"Munro, John",0,0,0,0,0,0,0,0,0,0
"Zola, Émile",409494,204288,12229,28025,10125,19990,87402,0,211618,459
"Rougemont, Louis de",0,0,0,0,0,0,0,0,0,0
