"","x"
"1","Christie, Agatha"
"2","Einstein, Albert"
"3","Huxley, Aldous"
"4","Bierce, Ambrose"
"5","Potter, Beatrix"
"6","Franklin, Benjamin"
"7","Russell, Bertrand"
"8","Darwin, Charles"
"9","Dickens, Charles"
"10","Herr, Charlotte B. (Charlotte Bronte)"
"11","Defoe, Daniel"
"12","Lawrence, D. H. (David Herbert)"
"13","Poe, Edgar Allan"
"14","Burroughs, Edgar Rice"
"15","Brontë, Emily"
"16","Shaw, Bernard"
"17","Washington, George"
"18","James, Henry"
"19","Wells, H. G. (Herbert George)"
"20","Melville, Herman"
"21","Asimov, Isaac"
"22","London, Jack"
"23","Joyce, James"
"24","Austen, Jane"
"25","Mill, John Stuart"
"26","Swift, Jonathan"
"27","Carroll, Lewis"
"28","Twain, Mark"
"29","Shelley, Mary Wollstonecraft"
"30","Faraday, Michael"
"31","Wilde, Oscar"
"32","Wodehouse, P. G. (Pelham Grenville)"
"33","Frost, Robert"
"34","Stevenson, Robert Louis"
"35","Kipling, Rudyard"
"36","Doyle, Arthur Conan"
"37","Galton, Francis"
"38","Saki"
"39","Davy, Humphry, Sir"
"40","Newton, Isaac, Sir"
"41","Churchill, Winston"
"42","Hardy, Thomas"
"43","Eliot, T. S. (Thomas Stearns)"
"44","Woolf, Virginia"
"45","Maugham, W. Somerset (William Somerset)"
