"","x"
"1","Stendhal"
"2","Verne, Jules"
"3","Rostand, Edmond"
"4","Dumas, Alexandre"
"5","Proust, Marcel"
"6","Voltaire"
"7","Molière"
"8","Renard, Jules"
"9","Mallarmé, Stéphane"
"10","Louÿs, Pierre"
"11","Loti, Pierre"
"12","Daudet, Alphonse"
"13","France, Anatole"
"14","Zola, Émile"
"15","Boileau Despréaux, Nicolas"
"16","Hugo, Victor"
"17","Alain-Fournier"
"18","Baudelaire, Charles"
"19","Colette"
"20","Diderot, Denis"
"21","Danton, Georges Jacques"
"22","Gide, André"
"23","Mistral, Frédéric"
"24","Staël, Madame de (Anne-Louise-Germaine)"
"25","Vigny, Alfred de"
"26","Duhamel, Georges"
"27","Gautier, Théophile"
"28","Maupassant, Guy de"
"29","Maspero, G. (Gaston)"
"30","Achard, Amédée"
"31","Flaubert, Gustave"
"32","Balzac, Honoré de"
"33","Ségur, Sophie, comtesse de"
"34","Binet, Alfred"
"35","Anonymous"
"36","Prévost, Marcel"
"37","Bonaparte, Pierre Napoléon, prince"
"38","Lautréamont, comte de"
"39","Napoleon I, Emperor of the French"
"40","Villon, François"
"41","Sand, George"
"42","Cartier, Jacques"
"43","Poe, Edgar Allan"
"44","Musset, Alfred de"
"45","Sainte-Beuve, Charles Augustin"
"46","Allais, Alphonse"
"47","Descartes, René"
"48","Barbey d'Aurevilly, J. (Jules)"
"49","Fénelon, François de Salignac de La Mothe-"
"50","Pergaud, Louis"
"51","Various"
"52","Musset, Paul de"
"53","Vallès, Jules"
"54","Heredia, José-Maria de"
"55","La Rochefoucauld, François duc de"
"56","Verlaine, Paul"
"57","Sue, Eugène"
"58","Apollinaire, Guillaume"
"59","Bernard, Claude"
"60","Barrès, Maurice"
"61","Jarry, Alfred"
"62","Sade, marquis de"
"63","Taine, Hippolyte"
"64","Perrault, Charles"
"65","Villiers de L'Isle-Adam, Auguste, comte de"
"66","Goncourt, Edmond de"
"67","La Fontaine, Jean de"
"68","Talleyrand-Périgord, Charles Maurice de, prince de Bénévent"
"69","Beaumarchais, Pierre Augustin Caron de"
"70","Itard, Jean Marc Gaspard"
"71","Le Bon, Gustave"
"72","Restif de La Bretonne"
"73","Mirabeau, Honoré-Gabriel de Riquetti, comte de"
"74","Rimbaud, Arthur"
"75","Robespierre, Maximilien"
"76","Tocqueville, Alexis de"
"77","Rosny, Lucien de"
"78","Corneille, Pierre"
"79","Nerval, Gérard de"
"80","L'Isle-Adam, Auguste de Villiers de"
"81","Montaigne, Michel de"
"82","Voltaire, Francois-Marie de"
"83","Mauriac, François"
"84","Montesquiou-Fézensac, Robert de"
